,lp,substancja_czynna,nazwa,postac,dawka,zawartosc_opakowania,ean,grupa_limitowana,cena_hurtowa,cena_detaliczna,wysokosc_limitu,zakres_wskazan,poziom_odplatnosci,wysokosc_doplaty
23,24,Acidum alendronicum,Ostenil 70, tabl., 70 mg,6 szt. (1 blist.po 6 szt.),5909991087425,"147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy",1356,1769,1769,Osteoporoza,30%,531
24,25,Acidum alendronicum,Ostolek, tabl. powl., 70 mg,4 szt. (1 blist.po 4 szt.),5909991032517,"147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy",877,1190,1190,Osteoporoza,30%,357
25,26,Acidum folicum,Acidum folicum Richter, tabl., 15 mg,30 szt. (1 blist.po 30 szt.),5909990109319,"27.0, Kwas foliowy i pochodne - kwas foliowy",420,588,588,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,588
26,27,Acidum folicum,Acidum folicum Richter, tabl., 5 mg,30 szt. (1 blist.po 30 szt.),5909990109210,"27.0, Kwas foliowy i pochodne - kwas foliowy",295,351,196,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,351
27,28,Acidum mycophenolicum,Marelim, tabletki dojelitowe, 180 mg,120 tabl.,5909991227272,"134.0, Leki przeciwnowotworowe i immunomodulujące - leki immunosupresyjne - kwas mykofenolowy i jego pochodne",10319,11590,9798,Stan po przeszczepie narządu unaczynionego bądź szpiku,ryczałt,2112
28,29,Acidum mycophenolicum,Marelim, tabletki dojelitowe, 360 mg,120 tabl.,5909991227319,"134.0, Leki przeciwnowotworowe i immunomodulujące - leki immunosupresyjne - kwas mykofenolowy i jego pochodne",21659,23330,19596,Stan po przeszczepie narządu unaczynionego bądź szpiku,ryczałt,4054
29,30,Acidum tranexamicum,Exacyl, roztwór doustny, 1 g/10 ml,5 amp.po 10 ml,5909990036011,"24.3, Leki antyfibrynolityczne - kwas traneksamowy do stosowania doustnego - postacie płynne",1059,1421,1421,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,50%,711
30,31,Acidum tranexamicum,Exacyl, tabl. powl., 500 mg,20 szt. (2 blist.po 10 szt.),5909990035915,"24.2, Leki antyfibrynolityczne - kwas traneksamowy do stosowania doustnego - postacie stałe",1134,1511,1511,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,50%,756
31,32,Acidum tranexamicum,Tranexamic acid Accord, roztwór do wstrzykiwań, 100 mg/ml,5 amp.po 5 ml,5909991313692,"24.1, Leki antyfibrynolityczne - kwas traneksamowy do stosowania pozajelitowego",765,1044,1044,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,50%,522
32,33,Acidum ursodeoxycholicum,Proursan, kaps., 250 mg,90 szt.,5909991203924,"245.0, Leki stosowane w chorobach dróg żółciowych i wątroby – kwas ursodeoksycholowy",8493,9576,7726,Zaburzenia czynności wątroby i dróg żółciowych związane z mukowiscydozą; Pierwotna żółciowa marskość wątroby w początkowym stadium choroby,30%,4168
33,34,Acidum ursodeoxycholicum,Ursocam, tabl., 250 mg,100 szt.,5909990414741,"245.0, Leki stosowane w chorobach dróg żółciowych i wątroby – kwas ursodeoksycholowy",7141,8294,8294,Pierwotna żółciowa marskość wątroby w początkowym stadium choroby,30%,2488
34,35,Acidum ursodeoxycholicum,Ursocam, tabl., 250 mg,90 szt.,5909991314675,"245.0, Leki stosowane w chorobach dróg żółciowych i wątroby – kwas ursodeoksycholowy",6419,7503,7503,Pierwotna żółciowa marskość wątroby w początkowym stadium choroby,30%,2251
35,36,Acidum ursodeoxycholicum,Ursopol, kaps. twarde, 300 mg,50 szt.,5909990798223,"245.0, Leki stosowane w chorobach dróg żółciowych i wątroby – kwas ursodeoksycholowy",4196,5068,5068,Pierwotna żółciowa marskość wątroby w początkowym stadium choroby,30%,1520
36,37,Acidum ursodeoxycholicum,Ursoxyn, kaps. twarde, 250 mg,100 szt.,5909991325794,"245.0, Leki stosowane w chorobach dróg żółciowych i wątroby – kwas ursodeoksycholowy",7031,8184,8184,Zaburzenia czynności wątroby i dróg żółciowych związane z mukowiscydozą; Pierwotna żółciowa marskość wątroby w początkowym stadium choroby,30%,2455
37,38,Acidum ursodeoxycholicum,Ursoxyn, kaps. twarde, 250 mg,50 szt.,5909991325770,"245.0, Leki stosowane w chorobach dróg żółciowych i wątroby – kwas ursodeoksycholowy",3515,4292,4292,Zaburzenia czynności wątroby i dróg żółciowych związane z mukowiscydozą; Pierwotna żółciowa marskość wątroby w początkowym stadium choroby,30%,1288
38,39,Acidum valproicum,Convulex, kaps. miękkie, 500 mg,100 szt.,5909990023813,"161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu",3652,4449,4449,Padaczka,ryczałt,356
39,40,Acidum valproicum,Convulex, kaps. miękkie, 500 mg,100 szt.,5909990023813,"161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu",3652,4449,4449,Choroby psychiczne lub upośledzenia umysłowe,bezpłatny do limitu,0
40,41,Acidum valproicum,Convulex 150, kaps. miękkie, 150 mg,100 szt.,5909990244317,"161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu",1474,1843,1335,Padaczka,ryczałt,828
41,42,Acidum valproicum,Convulex 150, kaps. miękkie, 150 mg,100 szt.,5909990244317,"161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu",1474,1843,1335,Choroby psychiczne lub upośledzenia umysłowe,bezpłatny do limitu,508
42,43,Acidum valproicum,Convulex 300, kaps. miękkie, 300 mg,100 szt.,5909990244416,"161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu",2199,2778,2669,Padaczka,ryczałt,429
43,44,Acidum valproicum,Convulex 300, kaps. miękkie, 300 mg,100 szt.,5909990244416,"161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu",2199,2778,2669,Choroby psychiczne lub upośledzenia umysłowe,bezpłatny do limitu,109
44,45,Acidum valproicum + Natrii valproas,Depakine Chrono 300, tabl. powl. o przedłużonym uwalnianiu, 87+200 mg,30 szt. (blist.),5909990694327,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu",1287,1649,1364,Padaczka,ryczałt,605
45,46,Acidum valproicum + Natrii valproas,Depakine Chrono 300, tabl. powl. o przedłużonym uwalnianiu, 87+200 mg,30 szt. (blist.),5909990694327,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu",1287,1649,1364,Choroby psychiczne lub upośledzenia umysłowe,bezpłatny do limitu,285
46,47,Acidum valproicum + Natrii valproas,Depakine Chrono 500, tabl. powl. o przedłużonym uwalnianiu, 145+333 mg,30 szt.,5909991210328,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu",1639,2143,2143,Padaczka,ryczałt,320
47,48,Acidum valproicum + Natrii valproas,Depakine Chrono 500, tabl. powl. o przedłużonym uwalnianiu, 145+333 mg,30 szt.,5909991210328,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu",1639,2143,2143,Choroby psychiczne lub upośledzenia umysłowe,bezpłatny do limitu,0
48,49,Acidum valproicum + Natrii valproas,Depakine Chrono 500, tabl. powl. o przedłużonym uwalnianiu, 145+333 mg,30 szt.,5909991229610,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu",1673,2177,2177,Padaczka,ryczałt,320
49,50,Acidum valproicum + Natrii valproas,Depakine Chrono 500, tabl. powl. o przedłużonym uwalnianiu, 145+333 mg,30 szt.,5909991229610,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu",1673,2177,2177,Choroby psychiczne lub upośledzenia umysłowe,bezpłatny do limitu,0
50,51,Acidum valproicum + Natrii valproas,Depakine Chrono 500, tabl. powl. o przedłużonym uwalnianiu, 145+333 mg,30 szt. (blist.),5909990694426,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu",1769,2273,2273,Padaczka,ryczałt,320
51,52,Acidum valproicum + Natrii valproas,Depakine Chrono 500, tabl. powl. o przedłużonym uwalnianiu, 145+333 mg,30 szt. (blist.),5909990694426,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu",1769,2273,2273,Choroby psychiczne lub upośledzenia umysłowe,bezpłatny do limitu,0
52,63,Acidum valproicum + Natrii valproas,ValproLEK 300, tabl. o przedłużonym uwalnianiu, 87+200 mg,30 szt. (3 blist.po 10 szt.),5909990619658,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu",987,1349,1349,<1>Padaczka,ryczałt,320
53,64,Acidum valproicum + Natrii valproas,ValproLEK 300, tabl. o przedłużonym uwalnianiu, 87+200 mg,30 szt. (3 blist.po 10 szt.),5909990619658,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu",987,1349,1349,<2>Choroby psychiczne lub upośledzenia umysłowe,bezpłatny do limitu,0
54,65,Acidum valproicum + Natrii valproas,ValproLEK 500, tabl. o przedłużonym uwalnianiu, 145+333 mg,30 szt. (3 blist.po 10 szt.),5909990619672,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu",1673,2177,2177,<1>Padaczka,ryczałt,320
55,66,Acidum valproicum + Natrii valproas,ValproLEK 500, tabl. o przedłużonym uwalnianiu, 145+333 mg,30 szt. (3 blist.po 10 szt.),5909990619672,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu",1673,2177,2177,<2>Choroby psychiczne lub upośledzenia umysłowe,bezpłatny do limitu,0
56,67,Acidum zoledronicum,Desinobon, koncentrat do sporządzania roztworu do infuzji, 4 mg/5 ml,1 fiol.po 5 ml,5909991009250,"146.3, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas zoledronowy",10206,11538,10193,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,1665
57,68,Acidum zoledronicum,Fayton, roztwór do infuzji, 4 mg/100 ml,1 fiol.po 100 ml,5909991078577,"146.3, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas zoledronowy",9639,10971,10193,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,1098
58,69,Acidum zoledronicum,Fayton, koncentrat do sporządzania roztworu do infuzji, 4 mg/5 ml,1 fiol.po 5 ml,5909991016197,"146.3, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas zoledronowy",9639,10971,10193,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,1098
59,70,Acidum zoledronicum,Osporil, roztwór do infuzji, 4 mg/100 ml,1 fiol.po 100 ml,5909991228392,"146.3, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas zoledronowy",10319,11651,10193,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,1778
60,71,Acidum zoledronicum,Zerlinda, roztwór do infuzji, 4 mg/100 ml,1 worek po 100 ml,5909991103163,"146.3, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas zoledronowy",9956,11289,10193,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,1416
61,72,Acidum zoledronicum,Zoledronic acid Accord, koncentrat do sporządzania roztworu do infuzji, 4 mg/5 ml,1 fiol. (5 ml),5055565711958,"146.3, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas zoledronowy",8732,10064,10064,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,320
62,73,Acidum zoledronicum,Zoledronic acid Actavis, koncentrat do sporządzania roztworu do infuzji, 4 mg/5 ml,1 fiol.po 5 ml,5909990975730,"146.3, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas zoledronowy",9639,10971,10193,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,1098
63,74,Acidum zoledronicum,Zoledronic acid Actavis, koncentrat do sporządzania roztworu do infuzji, 4 mg/5 ml,4 fiol. (5 ml),5909990975747,"146.3, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas zoledronowy",38556,40770,40770,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,320
64,75,Acidum zoledronicum,Zomikos, koncentrat do sporządzania roztworu do infuzji, 4 mg/5 ml,1 fiol.po 5 ml,5909990948994,"146.3, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas zoledronowy",9979,11311,10193,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,1438
65,76,Acitretinum,Acitren, kaps. twarde, 10 mg,100 szt.,5909990907755,"53.0, Leki przeciwłuszczycowe do stosowania ogólnego - retynoidy - acytretyna",14515,16091,16091,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,320
66,77,Acitretinum,Acitren, kaps. twarde, 10 mg,30 szt.,5909990907731,"53.0, Leki przeciwłuszczycowe do stosowania ogólnego - retynoidy - acytretyna",4536,5421,4912,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,829
67,78,Acitretinum,Acitren, kaps. twarde, 25 mg,100 szt.,5909990907786,"53.0, Leki przeciwłuszczycowe do stosowania ogólnego - retynoidy - acytretyna",36288,38445,38445,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,762
68,79,Acitretinum,Acitren, kaps. twarde, 25 mg,30 szt.,5909990907762,"53.0, Leki przeciwłuszczycowe do stosowania ogólnego - retynoidy - acytretyna",10886,12280,12280,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,320
69,80,Acitretinum,Neotigason, kaps., 10 mg,100 szt.,5909990697021,"53.0, Leki przeciwłuszczycowe do stosowania ogólnego - retynoidy - acytretyna",14629,16205,16205,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,320
70,81,Acitretinum,Neotigason, kaps., 10 mg,30 szt.,5909990854462,"53.0, Leki przeciwłuszczycowe do stosowania ogólnego - retynoidy - acytretyna",4536,5421,4912,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,829
71,82,Acitretinum,Neotigason, kaps., 25 mg,100 szt.,5909990696925,"53.0, Leki przeciwłuszczycowe do stosowania ogólnego - retynoidy - acytretyna",36572,38729,38729,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,762
72,85,Agomelatinum,Agolek, tabl. powl., 25 mg,28 szt.,5909991388768,"225.1, Leki przeciwdepresyjne - agomelatyna",5443,6412,6125,"Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii",30%,2125
73,86,Agomelatinum,Agomelatine +pharma, tabl. powl., 25 mg,30 szt.,5901720140494,"225.1, Leki przeciwdepresyjne - agomelatyna",5557,6563,6563,"Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii",30%,1969
74,87,Agomelatinum,Agomelatine +pharma, tabl. powl., 25 mg,90 szt.,5901720140418,"225.1, Leki przeciwdepresyjne - agomelatyna",16556,18223,18223,"Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii",30%,5467
75,88,Agomelatinum,Agomelatine Adamed, tabl. powl., 25 mg,28 szt.,5909991387266,"225.1, Leki przeciwdepresyjne - agomelatyna",5557,6526,6125,"Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii",30%,2239
76,89,Agomelatinum,Agomelatine G.L. Pharma, tabl. powl., 25 mg,28 szt.,9008732009293,"225.1, Leki przeciwdepresyjne - agomelatyna",5103,6072,6072,"Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii",30%,1822
77,90,Agomelatinum,Agomelatine NeuroPharma, tabl. powl., 25 mg,28 szt.,5909991395018,"225.1, Leki przeciwdepresyjne - agomelatyna",5443,6412,6125,"Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii",30%,2125
78,91,Agomelatinum,Agomelatyna Egis, tabl. powl., 25 mg,28 szt.,5995327174952,"225.1, Leki przeciwdepresyjne - agomelatyna",5387,6356,6125,"Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii",30%,2069
79,92,Agomelatinum,Lamegom, tabl. powl., 25 mg,28 tabl.,3838989699352,"225.1, Leki przeciwdepresyjne - agomelatyna",5557,6526,6125,"Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii",30%,2239
80,93,Agomelatinum,Sedival, tabl. powl., 25 mg,28 szt.,5909991419172,"225.1, Leki przeciwdepresyjne - agomelatyna",5216,6185,6125,"Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii",30%,1898
81,94,Agomelatinum,Symago, tabl. powl., 25 mg,28 szt.,5909991391423,"225.1, Leki przeciwdepresyjne - agomelatyna",5330,6299,6125,"Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii",30%,2012
82,95,Alergeny kurzu domowego,Novo-Helisen Depot, zawiesina do wstrzykiwań, stężenie: 1 - 50 TU/ml lub 50 PNU/ml; 2 - 500 TU/ml lub 500 PNU/ml; 3 - 5000 TU/ml lub 5000 PNU/ml,"3 fiol.po 4,5 ml (stężenia 1-3)",5909990001118,"214.1, Alergeny kurzu domowego",37526,40381,40381,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,1941
83,96,Alergeny pyłków roślin,Allergovit, zawiesina do wstrzykiwań, stężenie B - 10000 TU/ml,1 fiol.po 3 ml (stężenie B) + 10 strz. + 10 igieł,5909990001323,"214.4, Alergeny pyłków roślin - produkty do leczenia podtrzymującego",29925,31738,24334,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,7724
84,97,Alergeny pyłków roślin,Allergovit, zawiesina do wstrzykiwań, stężenie: A - 1000 TU/ml; B- 10000 TU/ml,2 fiol.po 3 ml (stężenie A i B) + 10 strz. + 10 igieł,5909990001316,"214.4, Alergeny pyłków roślin - produkty do leczenia podtrzymującego",30406,32219,24334,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,8205
85,98,Alergeny pyłków roślin,Purethal, zawiesina do wstrzykiwań, 20000 AUM/ml,1 fiol.po 3 ml + 8 strz. z igłą,5909990975310,"214.4, Alergeny pyłków roślin - produkty do leczenia podtrzymującego",22521,24334,24334,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,320
86,99,Alergeny pyłków roślin,Purethal, zawiesina do wstrzykiwań, 20000 AUM/ml,1 fiol.po 3 ml + 8 strz. z igłą,5909990975419,"214.4, Alergeny pyłków roślin - produkty do leczenia podtrzymującego",22521,24334,24334,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,320
87,100,Alfacalcidolum,Alfadiol, kaps. miękkie, 0.25 µg,100 szt. (2 blist.po 50 szt.),5909990296828,"18.1, Witamina D i jej analogi - alfakalcydol",896,1044,480,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,884
88,101,Alfacalcidolum,Alfadiol, kaps. miękkie, 1 µg,100 szt. (2 blist.po 50 szt.),5909990296927,"18.1, Witamina D i jej analogi - alfakalcydol",1474,1919,1919,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,1067
89,102,Alfuzosini hydrochloridum,Dalfaz Uno, tabl. o przedł. uwalnianiu, 10 mg,30 szt.,5909991288457,"76.0, Leki stosowane w leczeniu łagodnego przerostu gruczołu krokowego - blokujące receptory alfa-adrenergiczne",1349,1977,1977,Przerost gruczołu krokowego,ryczałt,427
90,103,Alfuzosini hydrochloridum,Dalfaz Uno, tabl. o przedł. uwalnianiu, 10 mg,30 szt.,5909991392055,"76.0, Leki stosowane w leczeniu łagodnego przerostu gruczołu krokowego - blokujące receptory alfa-adrenergiczne",1356,1984,1984,Przerost gruczołu krokowego,ryczałt,427
