,lp,substancja_czynna,nazwa,postac,dawka,zawartosc_opakowania,ean
68,69,Acitretinum,Acitren, kaps. twarde, 25 mg,30 szt.,5909990907762
69,70,Acitretinum,Neotigason, kaps., 10 mg,100 szt.,5909990697021
70,71,Acitretinum,Neotigason, kaps., 10 mg,30 szt.,5909990854462
71,72,Acitretinum,Neotigason, kaps., 25 mg,100 szt.,5909990696925
72,73,Adrenalinum,Adrenalina WZF, roztwór do wstrzykiwań, 300 μg/0#3 ml,1 amp.-strz.po 1 ml,5909991069711
73,74,Agomelatinum,Agolek, tabl. powl., 25 mg,28 szt.,5909991388768
74,75,Agomelatinum,Agomelatine +pharma, tabl. powl., 25 mg,30 szt.,5901720140494
75,76,Agomelatinum,Agomelatine Adamed, tabl. powl., 25 mg,28 szt.,5909991387266
76,77,Agomelatinum,Agomelatine G.L. Pharma, tabl. powl., 25 mg,28 szt.,9008732009293
77,78,Agomelatinum,Agomelatyna Egis, tabl. powl., 25 mg,28 szt.,5995327174952
78,79,Agomelatinum,Lamegom, tabl. powl., 25 mg,28 szt.,3838989699352
79,80,Agomelatinum,Sedival, tabl. powl., 25 mg,28 szt.,5909991419172
80,81,Agomelatinum,Symago, tabl. powl., 25 mg,28 szt.,5909991391423
81,82,Alergeny kurzu domowego,Novo-Helisen Depot, zawiesina do wstrzykiwań, stężenie: 1 - 50 TU/ml lub 50 PNU/ml; 2 - 500 TU/ml lub 500 PNU/ml; 3 - 5000 TU/ml lub 5000 PNU/ml,"3 fiol.po 4,5 ml (stężenia 1-3)",5909990001118
82,83,Alfuzosini hydrochloridum,Alfabax, tabl. o przedłużonym uwalnianiu, 10 mg,30 szt. (3 blist.po 10 szt.),5909990746576
83,84,Alfuzosini hydrochloridum,Alfurion, tabl. o przedł. uwalnianiu, 10 mg,30 szt.,5909991291945
84,85,Alfuzosini hydrochloridum,Alfuzostad 10 mg, tabl. o przedłużonym uwalnianiu, 10 mg,30 szt.,5909990619580
85,86,Alfuzosini hydrochloridum,Dalfaz SR 5, tabl. powl. o przedłużonym uwalnianiu, 5 mg,20 szt.,5909990812714
86,87,Alfuzosini hydrochloridum,Dalfaz Uno, tabl. o przedł. uwalnianiu, 10 mg,30 szt.,5909991288457
87,88,Alfuzosini hydrochloridum,Dalfaz Uno, tabl. o przedł. uwalnianiu, 10 mg,30 szt.,5909991392055
88,89,Alfuzosini hydrochloridum,Dalfaz Uno, tabl. o przedłużonym uwalnianiu, 10 mg,30 szt. (blister),5909990837816
89,90,Allopurinolum,Allupol, tabl., 100 mg,50 szt.,5909990109418
90,91,Allopurinolum,Allupol, tabl., 300 mg,30 szt.,5909991316228
91,92,Allopurinolum,Argadopin, tabl., 100 mg,100 szt.,5907626706529
92,93,Allopurinolum,Argadopin, tabl., 100 mg,50 szt.,5907626706505
93,94,Allopurinolum,Argadopin, tabl., 300 mg,100 szt.,5907626706628
94,95,Allopurinolum,Argadopin, tabl., 300 mg,30 szt,5907626706604
95,96,Allopurinolum,Milurit, tabl., 100 mg,50 szt.,5909990163212
96,97,Allopurinolum,Milurit, tabl., 300 mg,30 szt.,5909990414819
97,98,Amantadini hydrochloridum,Viregyt-K, kaps., 100 mg,50 szt.,5909990320912
98,99,Amiloridi hydrochloridum + Hydrochlorothiazidum,Tialorid, tabl., 5+50 mg,50 tabl.,5909990206025
99,100,Amiloridi hydrochloridum + Hydrochlorothiazidum,Tialorid mite, tabl., 2#5+25 mg,50 tabl.,5909990373819
100,101,Amiodaroni hydrochloridum,Opacorden, tabl. powl., 200 mg,60 szt.,5909990086818
101,102,Amisulpridum,Amipryd, tabl., 100 mg,30 szt.,5909991412876
102,103,Amisulpridum,Amipryd, tabl., 200 mg,30 szt.,5909991412883
103,104,Amisulpridum,Amipryd, tabl., 400 mg,30 szt.,5909991412906
104,105,Amisulpridum,Amisan, tabl., 200 mg,30 szt.,5909990762965
105,106,Amisulpridum,Amisan , tabl., 200 mg,60 szt.,5909990762972
106,107,Amisulpridum,Amisan, tabl. powl., 400 mg,30 szt.,5909990762996
107,108,Amisulpridum,Amisan , tabl., 50 mg,60 szt.,5909990762880
108,109,Amisulpridum,ApoSuprid, tabl., 200 mg,30 szt.,5909991348557
109,110,Amisulpridum,ApoSuprid, tabl. powl., 400 mg,30 szt.,5909991348649
110,111,Amisulpridum,Solian, tabl., 100 mg,30 szt.,5909990840816
111,112,Amisulpridum,Solian, tabl. powl., 200 mg,30 szt.,5909990840915
112,113,Amisulpridum,Solian, tabl., 400 mg,30 szt.,5909991466114
113,114,Amisulpridum,Solian, tabl., 400 mg,30 szt.,5909991452261
114,115,Amisulpridum,Solian, tabl. powl., 400 mg,30 szt.,5909990841011
115,116,Amisulpridum,Symamis, tabl., 200 mg,30 szt.,5909991410773
116,117,Amisulpridum,Symamis, tabl., 400 mg,30 szt.,5909991410803
117,118,Amlodipini besilas,ApoAmlo, tabl., 10 mg,30 szt.,5909991322885
118,119,Amlodipini besilas,ApoAmlo, tabl., 5 mg,30 szt.,5909991322816
119,120,Amlodipinum,Adipine, tabl., 10 mg,30 szt.,5909990642267
120,121,Amlodipinum,Adipine, tabl., 5 mg,30 szt.,5909990642311
121,122,Amlodipinum,Agen 10, tabl., 10 mg,30 szt.,5909991099022
122,123,Amlodipinum,Agen 10, tabletki, 10 mg,30 tabl.,5909991302184
123,124,Amlodipinum,Agen 10, tabl., 10 mg,60 szt.,5909991436636
124,125,Amlodipinum,Agen 10, tabl., 10 mg,60 szt.,5909991067540
125,126,Amlodipinum,Agen 5, tabl., 5 mg,30 szt.,5909991098926
126,127,Amlodipinum,Agen 5, tabletki, 5 mg,30 tabl.,5909991295226
127,128,Amlodipinum,Agen 5, tabl., 5 mg,60 szt.,5909991436759
128,129,Amlodipinum,Agen 5, tabl., 5 mg,60 szt.,5909991067533
129,130,Amlodipinum,Agen 5, tabl., 5 mg,60 szt.,5909991295233
130,131,Amlodipinum,Aldan, tabl., 10 mg,30 szt. (3 blist.po 10 szt.),5909991008734
131,132,Amlodipinum,Aldan, tabl., 5 mg,30 szt. (3 blist.po 10 szt.),5909991008635
132,133,Amlodipinum,Alneta, tabl., 10 mg,30 szt.,5909991068073
133,134,Amlodipinum,Alneta, tabl., 10 mg,60 szt.,5909991068097
134,135,Amlodipinum,Alneta, tabl., 5 mg,30 szt.,5909991067977
135,136,Amlodipinum,Alneta, tabl., 5 mg,60 szt.,5909991067991
136,137,Amlodipinum,Amlodipine Bluefish, tabl., 10 mg,30 szt.,5909990800551
137,138,Amlodipinum,Amlodipine Bluefish, tabl., 5 mg,30 szt.,5909990800469
138,139,Amlodipinum,Amlodipine Orion, tabl., 10 mg,30 szt.,5909991392079
139,140,Amlodipinum,Amlodipine Orion, tabl., 5 mg,30 szt.,5909991392062
140,141,Amlodipinum,Amlomyl, tabl., 10 mg,30 szt.,5909990842698
141,142,Amlodipinum,Amlomyl, tabl., 5 mg,30 szt.,5909990842476
142,143,Amlodipinum,Amlopin 10 mg, tabl., 10 mg,28 szt.,5909991361020
143,144,Amlodipinum,Amlopin 10 mg, tabl., 10 mg,30 szt.,5909991464462
144,145,Amlodipinum,Amlopin 10 mg, tabl., 10 mg,30 szt.,5909990048977
145,146,Amlodipinum,Amlopin 5 mg, tabl., 5 mg,28 szt.,5909991361013
146,147,Amlodipinum,Amlopin 5 mg, tabl., 5 mg,30 szt.,5909990048939
147,148,Amlodipinum,Amlozek, tabl., 10 mg,30 szt.,5909990799817
148,149,Amlodipinum,Amlozek, tabl., 5 mg,30 szt.,5909990799718
149,150,Amlodipinum,Cardilopin, tabl., 10 mg,30 szt.,5909990907519
150,151,Amlodipinum,Cardilopin, tabl., 2.5 mg,30 szt.,5909990907311
151,152,Amlodipinum,Cardilopin, tabl., 5 mg,30 szt.,5909990907410
152,153,Amlodipinum,Normodipine, tabl., 10 mg,30 szt.,5909990993116
153,154,Amlodipinum,Normodipine, tabl., 5 mg,30 szt.,5909990993017
154,155,Amlodipinum,Tenox, tabl., 10 mg,30 szt.,5909990963119
155,156,Amlodipinum,Tenox, tabl., 5 mg,30 szt.,5909990963010
156,157,Amlodipinum,Tenox, tabl., 5 mg,90 szt.,5909990421824
157,158,Amlodipinum,Vilpin, tabl., 10 mg,28 szt.,5909991283797
158,159,Amlodipinum,Vilpin, tabl., 10 mg,30 szt.,5909991042912
159,160,Amlodipinum,Vilpin, tabl., 5 mg,30 szt.,5909990621217
160,161,Amlodipinum + Valsartanum,Avasart Plus, tabl. powl., 10+160 mg,28 szt.,5909991342920
161,162,Amlodipinum + Valsartanum,Avasart Plus, tabl. powl., 5+160 mg,28 szt.,5909991342838
162,163,Amlodipinum + Valsartanum,Avasart Plus, tabl. powl., 5+80 mg,28 szt.,5909991342746
163,164,Amlodipinum + Valsartanum,Dipperam, tabl. powl., 10+160 mg,28 szt.,5907626708288
164,165,Amlodipinum + Valsartanum,Dipperam, tabl. powl., 10+160 mg,56 szt.,5907626709384
165,166,Amlodipinum + Valsartanum,Dipperam, tabl. powl., 5+160 mg,28 szt.,5907626708257
166,167,Amlodipinum + Valsartanum,Dipperam, tabl. powl., 5+160 mg,56 szt.,5907626709377
167,168,Amlodipinum + Valsartanum,Dipperam, tabl. powl., 5+80 mg,28 szt.,5907626708226
168,169,Amlodipinum + Valsartanum,Dipperam, tabl. powl., 5+80 mg,56 szt.,5907626709360
169,170,Amlodipinum + Valsartanum + Hydrochlorothiazidum,Dipperam HCT, tabl. powl., 10 + 160 + 12#5 mg,28 szt.,5907626709339
170,171,Amlodipinum + Valsartanum + Hydrochlorothiazidum,Dipperam HCT, tabl. powl., 10 + 160 + 25 mg,28 szt.,7613421033347
171,172,Amlodipinum + Valsartanum + Hydrochlorothiazidum,Dipperam HCT, tabl. powl., 5 + 160 + 12#5 mg,28 szt.,7613421033330
172,173,Amlodipinum + Valsartanum + Hydrochlorothiazidum,Valtricom, tabl. powl., 10 + 160 + 12#5 mg,28 szt.,3838989708610
173,174,Amlodipinum + Valsartanum + Hydrochlorothiazidum,Valtricom, tabl. powl., 10 + 160 + 25 mg,28 szt.,3838989708634
174,175,Amlodipinum + Valsartanum + Hydrochlorothiazidum,Valtricom, tabl. powl., 5 + 160 + 12#5 mg,28 szt.,3838989708627
175,176,Amoxicillinum,Amotaks, tabl., 1 g,16 szt.,5909990691319
176,177,Amoxicillinum,Amotaks, tabl., 1 g,20 szt.,5909991089153
177,178,Amoxicillinum,Amotaks, kaps. twarde, 500 mg,16 szt.,5909990691517
178,179,Amoxicillinum,Amotaks, kaps. twarde, 500 mg,20 szt.,5909991089108
179,180,Amoxicillinum,Amotaks, granulat do sporządzania zawiesiny doustnej, 500 mg/5 ml,1 but.po 100 ml,5909991298258
180,181,Amoxicillinum,Amotaks, granulat do sporządzania zawiesiny doustnej, 500 mg/5 ml,60 ml,5909990794379
181,182,Amoxicillinum,Amotaks DIS, tabl., 1 g,16 szt.,5909991043728
182,183,Amoxicillinum,Amotaks Dis, tabl., 1 g,20 szt.,5909991089146
183,184,Amoxicillinum,Amotaks DIS, tabl., 500 mg,16 szt.,5909991043520
184,185,Amoxicillinum,Amotaks Dis, tabl., 500 mg,20 szt.,5909991089122
185,186,Amoxicillinum,Amotaks DIS, tabl., 750 mg,16 szt.,5909991043629
186,187,Amoxicillinum,Amotaks Dis, tabl., 750 mg,20 szt.,5909991089139
187,188,Amoxicillinum,Amoxicillin Aurovitas, tabl. do sporz. zaw. doustnej, 1000 mg,16 szt.,5909991373139
188,189,Amoxicillinum,Amoxicillin Aurovitas, tabl. do sporz. zaw. doustnej, 750 mg,16 szt.,5909991373061
189,190,Amoxicillinum,Hiconcil, proszek do sporządzania zawiesiny doustnej, 250 mg/5 ml,100 ml,5909990083619
190,191,Amoxicillinum,Hiconcil, kaps. twarde, 500 mg,16 szt.,5909990066117
191,192,Amoxicillinum,Ospamox, tabl. powl., 1000 mg,16 szt.,5909990293322
192,193,Amoxicillinum,Ospamox, tabl. powl., 500 mg,16 szt.,5909990293124
193,194,Amoxicillinum,Ospamox, proszek do sporządzania zawiesiny doustnej, 500 mg/5 ml,1 but. 60 ml,5907626702361
194,195,Amoxicillinum,Ospamox, proszek do sporządzania zawiesiny doustnej, 500 mg/5 ml,1 but.po 100 ml,5909990781874
195,196,Amoxicillinum,Ospamox, tabl. powl., 750 mg,16 szt.,5909990293223
196,197,Amoxicillinum,Ospamox 1000 mg, tabl., 1000 mg,20 szt.,5909990778041
197,198,Amoxicillinum,Ospamox 500 mg, tabl. powl., 500 mg,20 szt.,5909990788453
198,199,Amoxicillinum,Ospamox 750 mg, tabl. powl., 750 mg,20 szt.,5909990788477
199,200,Amoxicillinum + Acidum clavulanicum,Amoksiklav, proszek do sporządzania zawiesiny doustnej, 400+57 mg/5 ml,140 ml (35 g),5909990894833
200,201,Amoxicillinum + Acidum clavulanicum,Amoksiklav, proszek do sporządzania zawiesiny doustnej, 400+57 mg/5 ml,"35 ml (8,75 g)",5909990894819
201,202,Amoxicillinum + Acidum clavulanicum,Amoksiklav, proszek do sporządzania zawiesiny doustnej, 400+57 mg/5 ml,"70 ml (17,5 g)",5909990894826
202,203,Amoxicillinum + Acidum clavulanicum,Amoksiklav, tabl. powl., 500+125 mg,14 szt.,5909990081912
203,204,Amoxicillinum + Acidum clavulanicum,Amoksiklav, tabl. powl., 875+125 mg,14 szt.,5909991322939
204,205,Amoxicillinum + Acidum clavulanicum,Amoksiklav, tabl. powl., 875+125 mg,14 szt.,5909991250324
205,206,Amoxicillinum + Acidum clavulanicum,Amoksiklav, tabl. powl., 875+125 mg,14 szt.,5909991243319
206,207,Amoxicillinum + Acidum clavulanicum,Amoksiklav, tabl. powl., 875+125 mg,14 szt.,5909990411115
207,208,Amoxicillinum + Acidum clavulanicum,Amoksiklav, tabl. powl., 875+125 mg,20 szt.,5909991449544
208,209,Amoxicillinum + Acidum clavulanicum,Amoksiklav, tabl. powl., 875+125 mg,20 szt.,5909991417871
209,210,Amoxicillinum + Acidum clavulanicum,Amoksiklav, tabl. powl., 875+125 mg,20 szt.,5909991012960
210,211,Amoxicillinum + Acidum clavulanicum,Amoksiklav ES, proszek do sporządzania zawiesiny doustnej, 600+42#9 mg/5 ml,1 but a 50 ml,7613421046941
211,212,Amoxicillinum + Acidum clavulanicum,Amoksiklav ES, proszek do sporządzania zawiesiny doustnej, 600+42#9 mg/5 ml,1 but. a 100 ml,7613421046934
212,213,Amoxicillinum + Acidum clavulanicum,Amoksiklav QUICKTAB 1000 mg, tabl. do sporządzania zawiesiny doustnej/tabl. ulegające rozpadowi w jamie ustnej, 875+125 mg,14 szt.,5909990649747
213,214,Amoxicillinum + Acidum clavulanicum,Amoksiklav QUICKTAB 625 mg, tabl. do sporządzania zawiesiny doustnej/tabl. ulegające rozpadowi w jamie ustnej, 500+125 mg,14 szt.,5909990646906
214,215,Amoxicillinum + Acidum clavulanicum,Amylan, tabl. powl., 500+125 mg,14 szt.,5909991284220
215,216,Amoxicillinum + Acidum clavulanicum,Amylan, tabl. powl., 875+125 mg,14 szt.,5909991284237
216,217,Amoxicillinum + Acidum clavulanicum,Auglavin PPH, proszek do sporządzania zawiesiny doustnej, 400+57 mg/5 ml,140 ml (but.),5909991343262
217,218,Amoxicillinum + Acidum clavulanicum,Auglavin PPH, proszek do sporządzania zawiesiny doustnej, 400+57 mg/5 ml,70 ml (but.),5909991343255
218,219,Amoxicillinum + Acidum clavulanicum,Auglavin PPH, tabl. powl., 500+125 mg,14 szt.,5903060615922
219,220,Amoxicillinum + Acidum clavulanicum,Auglavin PPH, proszek do sporządzania zawiesiny doustnej, 875+125 mg,14 sasz.,5903060615908
220,221,Amoxicillinum + Acidum clavulanicum,Auglavin PPH, tabl. powl., 875+125 mg,14 szt.,5903060615953
221,222,Amoxicillinum + Acidum clavulanicum,Augmentin, tabl. powl., 250+125 mg,21 szt.,5909990064120
222,223,Amoxicillinum + Acidum clavulanicum,Augmentin, tabl. powl., 500+125 mg,14 szt.,5909991424084
223,224,Amoxicillinum + Acidum clavulanicum,Augmentin, tabl. powl., 500+125 mg,14 szt.,5909997199702
224,225,Amoxicillinum + Acidum clavulanicum,Augmentin, tabl. powl., 500+125 mg,14 szt.,5909990368235
225,226,Amoxicillinum + Acidum clavulanicum,Augmentin, tabl. powl., 875+125 mg,14 szt.,5909997230740
226,227,Amoxicillinum + Acidum clavulanicum,Augmentin, tabl. powl., 875+125 mg,14 szt.,5909997198385
227,228,Amoxicillinum + Acidum clavulanicum,Augmentin, tabl. powl., 875+125 mg,14 szt.,5909991209483
228,229,Amoxicillinum + Acidum clavulanicum,Augmentin, tabl. powl., 875+125 mg,14 szt.,5909997230542
229,230,Amoxicillinum + Acidum clavulanicum,Augmentin, tabl. powl., 875+125 mg,14 szt.,5909997217345
230,231,Amoxicillinum + Acidum clavulanicum,Augmentin, tabl. powl., 875+125 mg,14 szt.,5909991248949
231,232,Amoxicillinum + Acidum clavulanicum,Augmentin, tabl. powl., 875+125 mg,14 szt.,5909990717521
232,233,Amoxicillinum + Acidum clavulanicum,Augmentin, tabl. powl., 875+125 mg,20 szt.,5909991093990
233,234,Amoxicillinum + Acidum clavulanicum,Augmentin ES, proszek do sporządzania zawiesiny doustnej, 600+42#9 mg/5 ml,1 but. a 100 ml,5909990614318
234,235,Amoxicillinum + Acidum clavulanicum,Augmentin ES, proszek do sporządzania zawiesiny doustnej, 600+42#9 mg/5 ml,50 ml,5909990614288
235,236,Amoxicillinum + Acidum clavulanicum,Co-amoxiclav Bluefish, tabl. powl., 875+125 mg,14 szt.,5909990744848
236,237,Amoxicillinum + Acidum clavulanicum,Hiconcil combi, proszek do sporządzania zawiesiny doustnej, 400+57 mg/5 ml,70 ml (14 g),5909991233846
237,238,Amoxicillinum + Acidum clavulanicum,Hiconcil combi, tabl. powl., 500+125 mg,14 szt.,5909991233525
238,239,Amoxicillinum + Acidum clavulanicum,Hiconcil combi, tabl. powl., 875+125 mg,14 szt.,5909991233624
239,240,Amoxicillinum + Acidum clavulanicum,Penlac, tabl. powl., 875+125 mg,14 szt.,5909991441517
240,241,Amoxicillinum + Acidum clavulanicum,Penlac, tabl. powl., 875+125 mg,20 szt.,5909991444440
241,242,Amoxicillinum + Acidum clavulanicum,Polamoklav, tabl. powl., 875+125 mg,14 szt.,5909991392772
242,243,Amoxicillinum + Acidum clavulanicum,Ramoclav, tabl. powl., 875+125 mg,14 szt.,5909991423513
243,244,Amoxicillinum + Acidum clavulanicum,Ramoclav, tabl. powl., 875+125 mg,14 szt.,5909991042073
244,245,Amoxicillinum + Acidum clavulanicum,Ramoclav, tabl. powl., 875+125 mg,21 szt.,5909991423520
245,246,Amoxicillinum + Acidum clavulanicum,Ramoclav, tabl. powl., 875+125 mg,21 szt.,5909991042080
246,247,Amoxicillinum + Acidum clavulanicum,Taromentin, proszek do sporządzania zawiesiny doustnej, 400 + 57 mg/5 ml,1 but. 140 ml,5909990793587
247,248,Amoxicillinum + Acidum clavulanicum,Taromentin, proszek do sporządzania zawiesiny doustnej, 400 + 57 mg/5 ml,1 but. 70 ml,5909990793600
248,249,Amoxicillinum + Acidum clavulanicum,Taromentin, proszek do sporządzania zawiesiny doustnej, 400 + 57 mg/5 ml,35 ml,5909990793594
249,250,Amoxicillinum + Acidum clavulanicum,Taromentin, tabl. powl., 500+125 mg,14 szt.,5909990430628
250,251,Amoxicillinum + Acidum clavulanicum,Taromentin, tabl. powl., 500+125 mg,21 szt.,5909990430611
251,252,Amoxicillinum + Acidum clavulanicum,Taromentin, tabl. powl., 875+125 mg,14 szt.,5909991087715
252,253,Amoxicillinum + Acidum clavulanicum,Taromentin, tabl. powl., 875+125 mg,21 szt.,5904016012444
253,254,Amoxicillinum trihydricum + Kalii clavulonas,Amoxicillin + Clavulanic Acid Aurovitas, tabl. powl., 875+125 mg,14 szt.,5909991395759
254,255,Anastrozolum,Anastrozol Bluefish, tabl. powl., 1 mg,28 szt.,5909990802432
255,256,Anastrozolum,Anastrozol Teva, tabl. powl., 1 mg,28 szt.,5909991324315
256,257,Anastrozolum,Anastrozol Teva, tabl. powl., 1 mg,28 szt.,5909990082162
257,258,Anastrozolum,Apo-Nastrol, tabl. powl., 1 mg,28 szt.,5909990802050
258,259,Anastrozolum,Arimidex, tabl. powl., 1 mg,28 szt.,5909990756711
259,260,Anastrozolum,Atrozol, tabl. powl., 1 mg,28 szt.,5909991090029
260,261,Anastrozolum,Egistrozol, tabl. powl., 1 mg,28 szt.,5909990082148
261,262,Anastrozolum,Egistrozol, tabl. powl., 1 mg,30 szt.,5909991453695
262,263,Anastrozolum,Egistrozol, tabl. powl., 1 mg,30 szt.,5909991464288
263,264,Apixabanum,Eliquis, tabl. powl., 2.5 mg,20 szt.,5909990861040
264,265,Apixabanum,Eliquis, tabl. powl., 5 mg,56 szt.,5909991019396
265,266,Aprepitantum,Aprepitant Accord, kaps. twarde, 125 mg# 80 mg,3 kaps. (1 kaps. 125 mg + 2 kaps. 80 mg),5909991400576
266,267,Aprepitantum,Aprepitant Mylan, kaps. twarde, 125 mg# 80 mg,3 kaps. (1 kaps. 125 mg + 2 kaps. 80 mg),5909991352547
267,268,Aprepitantum,Aprepitant Sandoz, kaps. twarde, 125 mg# 80 mg,3 kaps. (1 kaps. 125 mg + 2 kaps. 80 mg),5909991360818
268,269,Aprepitantum,Aprepitant Stada, kaps. twarde, 125 mg# 80 mg,3 kaps. (1 kaps. 125 mg + 2 kaps. 80 mg),5909991412715
269,270,Aprepitantum,Aprepitant Teva, kaps. twarde, 125 mg# 80 mg,3 kaps. (1 kaps. 125 mg + 2 kaps. 80 mg),5909991383169
