,lp,substancja_czynna,nazwa,postac,dawka,zawartosc_opakowania,ean,grupa_limitowana,cena_hurtowa,cena_detaliczna,wysokosc_limitu,zakres_wskazan,poziom_odplatnosci,wysokosc_doplaty
22,23,Acidum alendronicum,Ostenil 70, tabl., 70 mg,4 szt. (1 blist.po 4 szt.),5909991087418,"147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy","9,02","12,15","11,90",Osteoporoza,30%,"3,82"
23,24,Acidum alendronicum,Ostenil 70, tabl., 70 mg,6 szt. (1 blist.po 6 szt.),5909991087425,"147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy","13,56","17,69","17,69",Osteoporoza,30%,"5,31"
24,25,Acidum alendronicum,Ostolek, tabl. powl., 70 mg,4 szt. (1 blist.po 4 szt.),5909991032517,"147.0, Leki stosowane w chorobach kości - bisfosfoniany doustne - kwas alendronowy i ryzendronowy","8,77","11,90","11,90",Osteoporoza,30%,"3,57"
25,26,Acidum folicum,Acidum folicum Richter, tabl., 15 mg,30 szt. (1 blist.po 30 szt.),5909990109319,"27.0, Kwas foliowy i pochodne - kwas foliowy","4,20","5,88","5,88",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"5,88"
26,27,Acidum folicum,Acidum folicum Richter, tabl., 5 mg,30 szt. (1 blist.po 30 szt.),5909990109210,"27.0, Kwas foliowy i pochodne - kwas foliowy","2,95","3,51","1,96",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"3,51"
27,28,Acidum mycophenolicum,Marelim, tabletki dojelitowe, 180 mg,120 tabl.,5909991227272,"134.0, Leki przeciwnowotworowe i immunomodulujące - leki immunosupresyjne - kwas mykofenolowy i jego pochodne","103,19","115,90","97,98",Stan po przeszczepie narządu unaczynionego bądź szpiku,ryczałt,"21,12"
28,29,Acidum mycophenolicum,Marelim, tabletki dojelitowe, 360 mg,120 tabl.,5909991227319,"134.0, Leki przeciwnowotworowe i immunomodulujące - leki immunosupresyjne - kwas mykofenolowy i jego pochodne","216,59","233,30","195,96",Stan po przeszczepie narządu unaczynionego bądź szpiku,ryczałt,"40,54"
29,30,Acidum tranexamicum,Exacyl, roztwór doustny, 1 g/10 ml,5 amp.po 10 ml,5909990036011,"24.3, Leki antyfibrynolityczne - kwas traneksamowy do stosowania doustnego - postacie płynne","10,59","14,21","14,21",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,50%,"7,11"
30,31,Acidum tranexamicum,Exacyl, tabl. powl., 500 mg,20 szt. (2 blist.po 10 szt.),5909990035915,"24.2, Leki antyfibrynolityczne - kwas traneksamowy do stosowania doustnego - postacie stałe","11,34","15,11","15,11",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,50%,"7,56"
31,32,Acidum tranexamicum,Tranexamic acid Accord, roztwór do wstrzykiwań, 100 mg/ml,5 amp.po 5 ml,5909991313692,"24.1, Leki antyfibrynolityczne - kwas traneksamowy do stosowania pozajelitowego","7,65","10,44","10,44",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,50%,"5,22"
32,33,Acidum ursodeoxycholicum,Proursan, kaps., 250 mg,90 szt.,5909991203924,"245.0, Leki stosowane w chorobach dróg żółciowych i wątroby – kwas ursodeoksycholowy","84,93","95,76","77,26",Zaburzenia czynności wątroby i dróg żółciowych związane z mukowiscydozą; Pierwotna żółciowa marskość wątroby w początkowym stadium choroby,30%,"41,68"
33,34,Acidum ursodeoxycholicum,Ursocam, tabl., 250 mg,100 szt.,5909990414741,"245.0, Leki stosowane w chorobach dróg żółciowych i wątroby – kwas ursodeoksycholowy","71,41","82,94","82,94",Pierwotna żółciowa marskość wątroby w początkowym stadium choroby,30%,"24,88"
34,35,Acidum ursodeoxycholicum,Ursocam, tabl., 250 mg,90 szt.,5909991314675,"245.0, Leki stosowane w chorobach dróg żółciowych i wątroby – kwas ursodeoksycholowy","64,19","75,03","75,03",Pierwotna żółciowa marskość wątroby w początkowym stadium choroby,30%,"22,51"
35,36,Acidum ursodeoxycholicum,Ursopol, kaps. twarde, 300 mg,50 szt.,5909990798223,"245.0, Leki stosowane w chorobach dróg żółciowych i wątroby – kwas ursodeoksycholowy","41,96","50,68","50,68",Pierwotna żółciowa marskość wątroby w początkowym stadium choroby,30%,"15,20"
36,37,Acidum ursodeoxycholicum,Ursoxyn, kaps. twarde, 250 mg,100 szt.,5909991325794,"245.0, Leki stosowane w chorobach dróg żółciowych i wątroby – kwas ursodeoksycholowy","70,31","81,84","81,84",Zaburzenia czynności wątroby i dróg żółciowych związane z mukowiscydozą; Pierwotna żółciowa marskość wątroby w początkowym stadium choroby,30%,"24,55"
37,38,Acidum ursodeoxycholicum,Ursoxyn, kaps. twarde, 250 mg,50 szt.,5909991325770,"245.0, Leki stosowane w chorobach dróg żółciowych i wątroby – kwas ursodeoksycholowy","35,15","42,92","42,92",Zaburzenia czynności wątroby i dróg żółciowych związane z mukowiscydozą; Pierwotna żółciowa marskość wątroby w początkowym stadium choroby,30%,"12,88"
38,39,Acidum valproicum,Convulex, kaps. miękkie, 500 mg,100 szt.,5909990023813,"161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu","36,52","44,49","44,49",Padaczka,ryczałt,"3,56"
39,40,Acidum valproicum,Convulex, kaps. miękkie, 500 mg,100 szt.,5909990023813,"161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu","36,52","44,49","44,49",Choroby psychiczne lub upośledzenia umysłowe,bezpłatny do limitu,"0,00"
40,41,Acidum valproicum,Convulex 150, kaps. miękkie, 150 mg,100 szt.,5909990244317,"161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu","14,74","18,43","13,35",Padaczka,ryczałt,"8,28"
41,42,Acidum valproicum,Convulex 150, kaps. miękkie, 150 mg,100 szt.,5909990244317,"161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu","14,74","18,43","13,35",Choroby psychiczne lub upośledzenia umysłowe,bezpłatny do limitu,"5,08"
42,43,Acidum valproicum,Convulex 300, kaps. miękkie, 300 mg,100 szt.,5909990244416,"161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu","21,99","27,78","26,69",Padaczka,ryczałt,"4,29"
43,44,Acidum valproicum,Convulex 300, kaps. miękkie, 300 mg,100 szt.,5909990244416,"161.1, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o normalnym uwalnianiu","21,99","27,78","26,69",Choroby psychiczne lub upośledzenia umysłowe,bezpłatny do limitu,"1,09"
44,45,Acidum valproicum + Natrii valproas,Depakine Chrono 300, tabl. powl. o przedłużonym uwalnianiu, 87+200 mg,30 szt. (blist.),5909990694327,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","12,87","16,49","13,64",Padaczka,ryczałt,"6,05"
45,46,Acidum valproicum + Natrii valproas,Depakine Chrono 300, tabl. powl. o przedłużonym uwalnianiu, 87+200 mg,30 szt. (blist.),5909990694327,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","12,87","16,49","13,64",Choroby psychiczne lub upośledzenia umysłowe,bezpłatny do limitu,"2,85"
46,47,Acidum valproicum + Natrii valproas,Depakine Chrono 500, tabl. powl. o przedłużonym uwalnianiu, 145+333 mg,30 szt.,5909991210328,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","16,39","21,43","21,43",Padaczka,ryczałt,"3,20"
47,48,Acidum valproicum + Natrii valproas,Depakine Chrono 500, tabl. powl. o przedłużonym uwalnianiu, 145+333 mg,30 szt.,5909991210328,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","16,39","21,43","21,43",Choroby psychiczne lub upośledzenia umysłowe,bezpłatny do limitu,"0,00"
48,49,Acidum valproicum + Natrii valproas,Depakine Chrono 500, tabl. powl. o przedłużonym uwalnianiu, 145+333 mg,30 szt.,5909991229610,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","16,73","21,77","21,77",Padaczka,ryczałt,"3,20"
49,50,Acidum valproicum + Natrii valproas,Depakine Chrono 500, tabl. powl. o przedłużonym uwalnianiu, 145+333 mg,30 szt.,5909991229610,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","16,73","21,77","21,77",Choroby psychiczne lub upośledzenia umysłowe,bezpłatny do limitu,"0,00"
50,51,Acidum valproicum + Natrii valproas,Depakine Chrono 500, tabl. powl. o przedłużonym uwalnianiu, 145+333 mg,30 szt. (blist.),5909990694426,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","17,69","22,73","22,73",Padaczka,ryczałt,"3,20"
51,52,Acidum valproicum + Natrii valproas,Depakine Chrono 500, tabl. powl. o przedłużonym uwalnianiu, 145+333 mg,30 szt. (blist.),5909990694426,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","17,69","22,73","22,73",Choroby psychiczne lub upośledzenia umysłowe,bezpłatny do limitu,"0,00"
52,53,Acidum valproicum + Natrii valproas,Depakine Chronosphere 100, granulat o przedłużonym uwalnianiu," 29,03+66,66 mg",30 sasz.po 303 mg,5909990425693,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","5,27","6,69","4,55",Padaczka,ryczałt,"5,34"
53,54,Acidum valproicum + Natrii valproas,Depakine Chronosphere 100, granulat o przedłużonym uwalnianiu," 29,03+66,66 mg",30 sasz.po 303 mg,5909990425693,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","5,27","6,69","4,55",Choroby psychiczne lub upośledzenia umysłowe,bezpłatny do limitu,"2,14"
54,55,Acidum valproicum + Natrii valproas,Depakine Chronosphere 1000, granulat o przedłużonym uwalnianiu," 290,27+666,60 mg",30 sasz.po 3030 mg,5909990425754,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","44,34","52,15","45,46",Padaczka,ryczałt,"9,89"
55,56,Acidum valproicum + Natrii valproas,Depakine Chronosphere 1000, granulat o przedłużonym uwalnianiu," 290,27+666,60 mg",30 sasz.po 3030 mg,5909990425754,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","44,34","52,15","45,46",Choroby psychiczne lub upośledzenia umysłowe,bezpłatny do limitu,"6,69"
56,57,Acidum valproicum + Natrii valproas,Depakine Chronosphere 250, granulat o przedłużonym uwalnianiu," 72,61+166,76 mg",30 sasz.po 758 mg,5909990425709,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","13,19","16,34","11,37",Padaczka,ryczałt,"8,17"
57,58,Acidum valproicum + Natrii valproas,Depakine Chronosphere 250, granulat o przedłużonym uwalnianiu," 72,61+166,76 mg",30 sasz.po 758 mg,5909990425709,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","13,19","16,34","11,37",Choroby psychiczne lub upośledzenia umysłowe,bezpłatny do limitu,"4,97"
58,59,Acidum valproicum + Natrii valproas,Depakine Chronosphere 500, granulat o przedłużonym uwalnianiu," 145,14+333,30 mg",30 sasz.po 1515 mg,5909990425730,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","22,17","27,21","22,73",Padaczka,ryczałt,"7,68"
59,60,Acidum valproicum + Natrii valproas,Depakine Chronosphere 500, granulat o przedłużonym uwalnianiu," 145,14+333,30 mg",30 sasz.po 1515 mg,5909990425730,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","22,17","27,21","22,73",Choroby psychiczne lub upośledzenia umysłowe,bezpłatny do limitu,"4,48"
60,61,Acidum valproicum + Natrii valproas,Depakine Chronosphere 750, granulat o przedłużonym uwalnianiu," 217,75+500,06 mg",30 sasz.po 2273 mg,5909990425747,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","33,17","39,65","34,10",Padaczka,ryczałt,"8,75"
61,62,Acidum valproicum + Natrii valproas,Depakine Chronosphere 750, granulat o przedłużonym uwalnianiu," 217,75+500,06 mg",30 sasz.po 2273 mg,5909990425747,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","33,17","39,65","34,10",Choroby psychiczne lub upośledzenia umysłowe,bezpłatny do limitu,"5,55"
62,63,Acidum valproicum + Natrii valproas,ValproLEK 300, tabl. o przedłużonym uwalnianiu, 87+200 mg,30 szt. (3 blist.po 10 szt.),5909990619658,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","9,87","13,49","13,49",<1>Padaczka,ryczałt,"3,20"
63,64,Acidum valproicum + Natrii valproas,ValproLEK 300, tabl. o przedłużonym uwalnianiu, 87+200 mg,30 szt. (3 blist.po 10 szt.),5909990619658,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","9,87","13,49","13,49",<2>Choroby psychiczne lub upośledzenia umysłowe,bezpłatny do limitu,"0,00"
64,65,Acidum valproicum + Natrii valproas,ValproLEK 500, tabl. o przedłużonym uwalnianiu, 145+333 mg,30 szt. (3 blist.po 10 szt.),5909990619672,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","16,73","21,77","21,77",<1>Padaczka,ryczałt,"3,20"
65,66,Acidum valproicum + Natrii valproas,ValproLEK 500, tabl. o przedłużonym uwalnianiu, 145+333 mg,30 szt. (3 blist.po 10 szt.),5909990619672,"161.2, Leki przeciwpadaczkowe do stosowania doustnego - kwas walproinowy i jego sole - postacie farmaceutyczne o przedłużonym uwalnianiu","16,73","21,77","21,77",<2>Choroby psychiczne lub upośledzenia umysłowe,bezpłatny do limitu,"0,00"
66,67,Acidum zoledronicum,Desinobon, koncentrat do sporządzania roztworu do infuzji, 4 mg/5 ml,1 fiol.po 5 ml,5909991009250,"146.3, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas zoledronowy","102,06","115,38","101,93",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"16,65"
67,68,Acidum zoledronicum,Fayton, roztwór do infuzji, 4 mg/100 ml,1 fiol.po 100 ml,5909991078577,"146.3, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas zoledronowy","96,39","109,71","101,93",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"10,98"
68,69,Acidum zoledronicum,Fayton, koncentrat do sporządzania roztworu do infuzji, 4 mg/5 ml,1 fiol.po 5 ml,5909991016197,"146.3, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas zoledronowy","96,39","109,71","101,93",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"10,98"
69,70,Acidum zoledronicum,Osporil, roztwór do infuzji, 4 mg/100 ml,1 fiol.po 100 ml,5909991228392,"146.3, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas zoledronowy","103,19","116,51","101,93",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"17,78"
70,71,Acidum zoledronicum,Zerlinda, roztwór do infuzji, 4 mg/100 ml,1 worek po 100 ml,5909991103163,"146.3, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas zoledronowy","99,56","112,89","101,93",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"14,16"
71,72,Acidum zoledronicum,Zoledronic acid Accord, koncentrat do sporządzania roztworu do infuzji, 4 mg/5 ml,1 fiol. (5 ml),5055565711958,"146.3, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas zoledronowy","87,32","100,64","100,64",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"3,20"
72,73,Acidum zoledronicum,Zoledronic acid Actavis, koncentrat do sporządzania roztworu do infuzji, 4 mg/5 ml,1 fiol.po 5 ml,5909990975730,"146.3, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas zoledronowy","96,39","109,71","101,93",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"10,98"
73,74,Acidum zoledronicum,Zoledronic acid Actavis, koncentrat do sporządzania roztworu do infuzji, 4 mg/5 ml,4 fiol. (5 ml),5909990975747,"146.3, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas zoledronowy","385,56","407,70","407,70",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"3,20"
74,75,Acidum zoledronicum,Zomikos, koncentrat do sporządzania roztworu do infuzji, 4 mg/5 ml,1 fiol.po 5 ml,5909990948994,"146.3, Leki stosowane w chorobach kości - bisfosfoniany do podawania pozajelitowego - kwas zoledronowy","99,79","113,11","101,93",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"14,38"
75,76,Acitretinum,Acitren, kaps. twarde, 10 mg,100 szt.,5909990907755,"53.0, Leki przeciwłuszczycowe do stosowania ogólnego - retynoidy - acytretyna","145,15","160,91","160,91",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"3,20"
76,77,Acitretinum,Acitren, kaps. twarde, 10 mg,30 szt.,5909990907731,"53.0, Leki przeciwłuszczycowe do stosowania ogólnego - retynoidy - acytretyna","45,36","54,21","49,12",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"8,29"
77,78,Acitretinum,Acitren, kaps. twarde, 25 mg,100 szt.,5909990907786,"53.0, Leki przeciwłuszczycowe do stosowania ogólnego - retynoidy - acytretyna","362,88","384,45","384,45",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"7,62"
78,79,Acitretinum,Acitren, kaps. twarde, 25 mg,30 szt.,5909990907762,"53.0, Leki przeciwłuszczycowe do stosowania ogólnego - retynoidy - acytretyna","108,86","122,80","122,80",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"3,20"
79,80,Acitretinum,Neotigason, kaps., 10 mg,100 szt.,5909990697021,"53.0, Leki przeciwłuszczycowe do stosowania ogólnego - retynoidy - acytretyna","146,29","162,05","162,05",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"3,20"
80,81,Acitretinum,Neotigason, kaps., 10 mg,30 szt.,5909990854462,"53.0, Leki przeciwłuszczycowe do stosowania ogólnego - retynoidy - acytretyna","45,36","54,21","49,12",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"8,29"
81,82,Acitretinum,Neotigason, kaps., 25 mg,100 szt.,5909990696925,"53.0, Leki przeciwłuszczycowe do stosowania ogólnego - retynoidy - acytretyna","365,72","387,29","387,29",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"7,62"
82,83,Adrenalinum,Adrenalina WZF, roztwór do wstrzykiwań," 300 μg/0,3 ml",1 amp.-strz.po 1 ml,5909991069711,"32.1, Leki stosowane doraźnie w nagłych przypadkach anafilaksji - leki adrenergiczne i dopaminergiczne - epinefryna - do podawania pozajelitowego","46,49","55,64","55,64","Leczenie doraźne w nagłych przypadkach ostrych reakcji alergicznych (anafilaksji), wywołanych przez pokarmy, leki, ukąszenia i użądlenia owadów oraz inne alergeny, jak również w przypadku anafilaksji samoistnej",50%,"27,82"
83,84,Adrenalinum,"Adrenalina WZF 0,1%", roztwór do wstrzykiwań, 1 mg/ml,10 amp.po 1 ml,5909990182510,"32.0, Leki pobudzające czynność serca - leki adrenergiczne i dopaminergiczne - epinefryna - do podawania pozajelitowego","14,86","19,33","19,33",We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,"3,20"
84,85,Agomelatinum,Agolek, tabl. powl., 25 mg,28 szt.,5909991388768,"225.1, Leki przeciwdepresyjne - agomelatyna","54,43","64,12","61,25","Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii",30%,"21,25"
